
"SAMSUNG ELECTRONICS CO., LTD.",5111,5046,98,605
CANON KABUSHIKI KAISHA,2835,2748,96,561
APPLE INC.,2340,2256,96,553
"SAMSUNG DISPLAY CO., LTD.",2224,2202,99,520
HUAWEI,2379,2192,92,643
LG ELECTRONICS INC.,2193,2113,96,535
"MICRON TECHNOLOGY, INC.",1859,1852,99,610
GOOGLE LLC,1786,1711,95,555
QUALCOMM,1710,1660,97,624
"TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY, LTD.",1644,1640,99,606
TOYOTA JIDOSHA KABUSHIKI KAISHA,1784,1456,81,602
"TAIWAN SEMICONDUCTOR MANUFACTURING CO., LTD.",1415,1411,99,587
DELL PRODUCTS L.P.,1264,1244,98,667
"BOE TECHNOLOGY GROUP CO., LTD.",1176,1154,98,614
"MICROSOFT TECHNOLOGY LICENSING, LLC",1119,1074,95,571
INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM),1088,1072,98,606
INTEL CORPORATION,1143,1051,91,566
"CAPITAL ONE SERVICES, LLC",1072,1048,97,538
SEIKO EPSON CORPORATION,1054,1000,94,584
HYUNDAI MOTOR COMPANY,1069,995,93,613
KIA CORPORATION,1059,985,93,614
"HONDA MOTOR CO., LTD.",1088,883,81,643
SONY GROUP CORPORATION,913,807,88,613
TELEFONAKTIEBOLAGET L M ERICSSON (PUBL),887,785,88,607
BROTHER KOGYO KABUSHIKI KAISHA,785,776,98,541
SAUDI ARABIAN OIL COMPANY,744,719,96,592
JAPAN DISPLAY INC.,749,716,95,446
"FORD GLOBAL TECHNOLOGIES, LLC",742,716,96,614
SNAP INC.,715,708,99,540
TEXAS INSTRUMENTS INCORPORATED,713,705,98,576
KING FAISAL UNIVERSITY,729,701,96,214
"LG DISPLAY CO., LTD.",680,678,99,504
"CISCO TECHNOLOGY, INC.",687,675,98,559
NEC CORPORATION,803,650,80,617
KIOXIA CORPORATION,681,644,94,591
GENERAL ELECTRIC COMPANY,681,640,93,580
SK HYNIX INC.,657,634,96,619
"PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD.",718,626,87,610
BANK OF AMERICA CORPORATION,601,586,97,576
GM GLOBAL TECHNOLOGY OPERATIONS LLC,619,583,94,646
FUJIFILM CORPORATION,685,560,81,596
"SEMICONDUCTOR ENERGY LABORATORY CO., LTD.",555,519,93,516
DENSO CORPORATION,589,510,86,666
"MURATA MANUFACTURING CO., LTD.",523,509,97,633
PANASONIC INTELLECTUAL PROPERTY CORPORATION OF AMERICA,498,490,98,513
MITSUBISHI ELECTRIC CORPORATION,613,490,79,609
"WESTERN DIGITAL TECHNOLOGIES, INC.",488,486,99,596
THE BOEING COMPANY,489,482,98,683
"AMAZON TECHNOLOGIES, INC.",480,476,99,580
KABUSHIKI KAISHA TOSHIBA,529,474,89,596
NIPPON TELEGRAPH AND TELEPHONE CORPORATION,491,471,95,686
ORACLE INTERNATIONAL CORPORATION,472,471,99,580
TENCENT AMERICA LLC,465,464,99,592
SHARP KABUSHIKI KAISHA,512,463,90,545
KYOCERA DOCUMENT SOLUTIONS INC.,522,446,85,492
ROBERT BOSCH GMBH,468,432,92,691
TENCENT TECHNOLOGY (SHENZHEN) COMPANY LIMITED,424,424,100,682
"HALLIBURTON ENERGY SERVICES, INC.",436,422,96,594
TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LTD.,425,421,99,495
INNOLUX CORPORATION,431,408,94,501
"META PLATFORMS TECHNOLOGIES, LLC",580,398,68,564
"CHANGXIN MEMORY TECHNOLOGIES, INC.",434,389,89,694
"HYUNDAI MOBIS CO., LTD.",391,388,99,578
SNOWFLAKE INC.,384,384,100,384
MICROSOFT TECHNOLOGY LICENSING LLC,398,376,94,644
"COMCAST CABLE COMMUNICATIONS, LLC",375,373,99,545
KING FAHD UNIVERSITY OF PETROLEUM AND MINERALS,366,366,100,318
"NIKE, INC.",387,365,94,555
SAP SE,374,364,97,614
"ROVI GUIDES, INC.",358,357,99,504
SONY SEMICONDUCTOR SOLUTIONS CORPORATION,375,352,93,593
"WELLS FARGO BANK, N.A.",355,350,98,493
"APPLIED MATERIALS, INC.",369,347,94,580
TOSHIBA TEC KABUSHIKI KAISHA,456,338,74,534
BYTEDANCE INC.,340,338,99,539
RAYTHEON TECHNOLOGIES CORPORATION,349,337,96,545
VERIZON PATENT AND LICENSING INC.,331,328,99,564
ZTE CORPORATION,339,322,94,660
"SAMSUNG ELECTRO-MECHANICS CO., LTD.",337,320,94,611
BEIJING BYTEDANCE NETWORK TECHNOLOGY CO LTD.,327,320,97,517
SCHLUMBERGER TECHNOLOGY CORPORATION,329,319,96,559
"LG INNOTEK CO., LTD.",311,306,98,576
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,318,304,95,540
ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE,334,302,90,597
"MAGIC LEAP, INC.",302,300,99,484
HONEYWELL INTERNATIONAL INC.,318,299,94,601
"THE NIELSEN COMPANY (US), LLC",323,298,92,498
"CHENGDU BOE OPTOELECTRONICS TECHNOLOGY CO., LTD.",302,297,98,588
ADOBE INC.,287,285,99,622
"HEWLETT-PACKARD DEVELOPMENT COMPANY, L.P.",529,276,52,569
INFINEON TECHNOLOGIES AG,281,271,96,606
MILWAUKEE ELECTRIC TOOL CORPORATION,278,270,97,544
NVIDIA CORPORATION,274,266,97,609
"LG ENERGY SOLUTION, LTD.",263,261,99,589
HKC CORPORATION LIMITED,270,260,96,392
PRATT & WHITNEY CANADA CORP.,267,259,97,520
"CONTEMPORARY AMPEREX TECHNOLOGY CO., LIMITED",265,258,97,416
"VIVO MOBILE COMMUNICATION CO., LTD.",264,256,96,666
TOKYO ELECTRON LIMITED,270,250,92,667
"HITACHI, LTD.",311,249,80,640
UNITED MICROELECTRONICS CORP.,250,246,98,533
"OFINNO, LLC",247,246,99,500
SUBARU CORPORATION,250,245,98,637
SPLUNK INC.,244,243,99,545
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,307,241,78,579
NANYA TECHNOLOGY CORPORATION,244,241,98,625
FUJIFILM BUSINESS INNOVATION CORP.,264,241,91,589
STMICROELECTRONICS S.R.L.,242,240,99,616
THE PROCTER & GAMBLE COMPANY,285,239,83,535
"PURE STORAGE, INC.",250,238,95,568
"SONOS, INC.",239,237,99,487
WAYMO LLC,241,237,98,535
"JUNIPER NETWORKS, INC.",241,236,97,564
"ROHM CO., LTD.",252,236,93,579
"DAIKIN INDUSTRIES, LTD.",256,229,89,489
TOSHIBA ELECTRONIC DEVICES & STORAGE CORPORATION,248,226,91,551
CORNING INCORPORATED,263,226,85,504
SONY INTERACTIVE ENTERTAINMENT INC.,234,225,96,665
"VMWARE, INC.",297,223,75,546
NICHIA CORPORATION,225,223,99,490
SIGNIFY HOLDING B.V.,247,223,90,573
INTUIT INC.,234,221,94,402
"INTERDIGITAL PATENT HOLDINGS, INC.",224,218,97,525
"SKYWORKS SOLUTIONS, INC.",224,217,96,573
HAMILTON SUNDSTRAND CORPORATION,240,217,90,622
"T-MOBILE USA, INC.",216,216,100,524
UNITED SERVICES AUTOMOBILE ASSOCIATION (USAA),216,216,100,519
"WALMART APOLLO, LLC",231,216,93,560
"SALESFORCE, INC.",217,215,99,612
3M INNOVATIVE PROPERTIES COMPANY,275,215,78,552
TDK CORPORATION,225,213,94,580
WHIRLPOOL CORPORATION,231,213,92,534
KONINKLIJKE PHILIPS N.V.,251,213,84,648
HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP,219,212,96,647
DOLBY LABORATORIES LICENSING CORPORATION,214,210,98,504
COMMSCOPE TECHNOLOGIES LLC,284,209,73,558
T-MOBILE INNOVATIONS LLC,209,208,99,527
GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP. LTD.,294,207,70,711
CILAG GMBH INTERNATIONAL,242,206,85,620
"NISSAN MOTOR CO., LTD.",205,205,100,499
"BEIJING XIAOMI MOBILE SOFTWARE CO., LTD.",211,204,96,727
SAFRAN AIRCRAFT ENGINES,206,204,99,569
CATERPILLAR INC.,210,202,96,585
SCHAEFFLER TECHNOLOGIES AG & CO. KG,227,202,88,569
"AMAZON  TECHNOLOGIES,  INC.",203,199,98,591
"SUMITOMO WIRING SYSTEMS, LTD.",225,198,88,722
ARRIS ENTERPRISES LLC,253,197,77,543
"ZOOM VIDEO COMMUNICATIONS, INC.",198,196,98,575
EATON INTELLIGENT POWER LIMITED,205,192,93,592
UAB 360 IT,195,191,97,491
IMAGINATION TECHNOLOGIES LIMITED,195,190,97,525
IMAM ABDULRAHMAN BIN FAISAL UNIVERSITY,189,189,100,297
"APPLIED MATERIALS,INC.",202,188,93,571
PIXART IMAGING INC.,190,188,98,490
"GOPRO, INC.",190,185,97,499
RAMBUS INC.,184,183,99,535
ROLLS-ROYCE PLC,209,183,87,492
"RED HAT, INC.",184,183,99,659
ZHEJIANG UNIVERSITY,205,182,88,462
VOLVO TRUCK CORPORATION,193,180,93,587
SUMITOMO ELECTRIC INDUSTRIES LTD.,199,178,89,701
"AT&T INTELLECTUAL PROPERTY I, LP",389,177,45,582
LUTRON TECHNOLOGY COMPANY LLC,176,176,100,503
"INSPUR SUZHOU INTELLIGENT TECHNOLOGY CO., LTD.",190,173,91,366
ALTRIA CLIENT SERVICES LLC,175,173,98,558
SUN PATENT TRUST,173,172,99,462
"MAXELL, LTD.",173,170,98,482
"INTUITIVE SURGICAL OPERATIONS, INC.",171,169,98,569
"JPMORGAN CHASE BANK, N.A.",171,169,98,623
"CHENGDU QINCHUAN IOT TECHNOLOGY CO., LTD.",173,168,97,401
VISA INTERNATIONAL SERVICE ASSOCIATION,167,167,100,568
SIEMENS AKTIENGESELLSCHAFT,180,166,92,573
FUJITSU LIMITED,411,166,40,610
PALANTIR TECHNOLOGIES INC.,166,165,99,519
"ADVANCED MICRO DEVICES, INC.",168,164,97,657
DEERE & COMPANY,168,164,97,589
"KONICA MINOLTA, INC.",181,164,90,570
NOKIA TECHNOLOGIES OY,169,163,96,749
"DIGITAL GLOBAL SYSTEMS, INC.",163,163,100,211
MEDIATEK INC.,181,162,89,595
GM CRUISE HOLDINGS LLC,187,161,86,585
IGT,165,161,97,525
"MITSUBISHI HEAVY INDUSTRIES, LTD.",184,160,86,593
"SIGMASENSE, LLC.",167,160,95,488
MAGNA ELECTRONICS INC.,160,159,99,465
KYOCERA CORPORATION,198,157,79,645
"ROKU, INC.",159,155,97,501
NOKIA SOLUTIONS AND NETWORKS OY,162,153,94,544
"RIVIAN IP HOLDINGS, LLC",160,152,95,538
TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED,151,151,100,557
"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",152,150,98,606
ILLINOIS TOOL WORKS INC.,165,150,90,628
STRYKER CORPORATION,155,149,96,548
MARVELL ASIA PTE LTD,148,148,100,518
RTX CORPORATION,149,148,99,527
NXP B.V.,156,148,94,668
ARM LIMITED,148,147,99,668
MAZDA MOTOR CORPORATION,164,146,89,581
PURDUE RESEARCH FOUNDATION,155,146,94,559
YAZAKI CORPORATION,174,146,83,650
ASML NETHERLANDS B.V.,146,144,98,621
"TOYOTA MOTOR ENGINEERING & MANUFACTURING NORTH AMERICA, INC.",150,144,96,657
SHARP DISPLAY TECHNOLOGY CORPORATION,149,143,95,417
REALTEK SEMICONDUCTOR CORPORATION,144,143,99,618
