
FISH & RICHARDSON PC,4606,4170,90,547
FOLEY & LARDNER LLP,3318,3028,91,537
SUGHRUE MION PLLC,2900,2606,89,593
MORGAN LEWIS & BOCKIUS LLP,2720,2485,91,590
JCIPRNET,2642,2418,91,567
OBLON MCCLELLAND MAIER & NEUSTADT LLP,2636,2395,90,517
KNOBBE MARTENS OLSON & BEAR LLP,2538,2194,86,524
KILPATRICK TOWNSEND & STOCKTON LLP,2318,2170,93,561
SCHWEGMAN LUNDBERG & WOESSNER,2168,2032,93,547
BIRCH STEWART KOLASCH & BIRCH LLP,2224,1991,89,581
OLIFF PLC,2155,1883,87,592
CANTOR COLBURN LLP,2039,1847,90,584
PERKINS COIE LLP,1986,1784,89,528
WOMBLE BOND DICKINSON (US) LLP,1903,1751,92,543
NIXON & VANDERHYE PC,1615,1445,89,595
VENABLE LLP,1505,1429,94,546
HARNESS DICKEY,1501,1331,88,597
MUNCY GEISSLER OLDS & LOWE PC,1524,1316,86,575
SLATER MATSIL LLP,1353,1300,96,634
BANNER & WITCOFF LTD,1383,1291,93,538
GREENBERG TRAURIG LLP,1427,1216,85,517
HAUPTMAN HAM LLP,1388,1176,84,577
XSENSUS,1337,1166,87,567
MICHAEL BEST & FRIEDRICH LLP,1249,1149,91,555
DORITY & MANNING PA,1243,1132,91,589
CANON U S A INC,1132,1092,96,580
POLSINELLI PC,1183,1047,88,506
K&L GATES LLP,1165,1046,89,534
WORKMAN NYDEGGER,1106,1043,94,590
HOLLAND & HART LLP,1076,1039,96,622
HAYNES & BOONE LLP,1070,1031,96,550
STERNE KESSLER GOLDSTEIN & FOX PLLC,1157,1030,89,552
STUDEBAKER & BRACKETT PC,1151,1025,89,594
DINSMORE & SHOHL LLP,1176,1019,86,574
NATH GOLDBERG & MEYER,1073,1011,94,299
NORTH AMERICA INTELLECTUAL PROPERTY CORPORATION,1032,986,95,537
LEWIS ROCA ROTHGERBER CHRISTIE LLP,993,962,96,540
MERCHANT & GOULD PC,1069,946,88,554
BAYRAMOGLU LAW OFFICES LLC,993,922,92,388
CONLEY ROSE PC,957,908,94,564
LEYDIG VOIT & MAYER LTD,936,839,89,622
MAIER & MAIER PLLC,938,838,89,539
WENDEROTH LIND & PONACK LLP,942,836,88,575
SEED IP LAW GROUP LLP,863,829,96,551
F. CHAU & ASSOCIATES LLC,830,825,99,566
VOLPE KOENIG,913,823,90,583
HARNESS DICKEY & PIERCE PLC,858,812,94,605
LEE & HAYES PC,872,809,92,554
FINNEGAN HENDERSON FARABOW GARRETT & DUNNER LLP,973,802,82,520
HONIGMAN LLP,920,799,86,547
OSHA BERGMAN WATANABE & BURTON LLP,936,787,84,626
FOX ROTHSCHILD LLP,872,781,89,590
MASCHOFF BRENNAN,866,771,89,558
DICKINSON WRIGHT PLLC,892,769,86,591
HALEY GUILIANO LLP,795,769,96,533
HARRITY & HARRITY LLP,775,761,98,602
FAEGRE DRINKER BIDDLE & REATH LLP,831,753,90,543
BRYAN CAVE LEIGHTON PAISNER LLP,801,753,94,514
LOWENSTEIN SANDLER LLP,789,753,95,576
GREENBLUM & BERNSTEIN PLC,908,751,82,612
BAKERHOSTETLER,912,748,82,571
WOLF GREENFIELD & SACKS PC,865,734,84,548
LEMPIA SUMMERFIELD KATZ LLC,786,732,93,538
ARENTFOX SCHIFF LLP,813,726,89,608
RIMON PC,785,724,92,658
WPAT PC,786,716,91,541
TEXAS INSTRUMENTS INCORPORATED,713,705,98,576
MARSHALL GERSTEIN & BORUN LLP,810,700,86,533
DLA PIPER LLP,796,700,87,502
MCCLURE QUALEY & RODACK LLP,755,697,92,593
BARNES & THORNBURG LLP,787,680,86,542
QUARLES & BRADY LLP,880,665,75,592
JEFFERSON IP LAW LLP,670,663,98,596
COOLEY LLP,878,656,74,485
IPRO PLLC,708,656,92,536
NEC-IPC,808,652,80,623
COOPER LEGAL GROUP LLC,731,644,88,486
NSIP LAW,666,643,96,558
KDW FIRM PLLC,693,643,92,558
PATTERSON + SHERIDAN LLP,674,640,94,553
ALSTON & BIRD,739,636,86,543
NORTON ROSE FULBRIGHT US LLP,731,635,86,587
ARMSTRONG TEASDALE LLP,715,632,88,605
BOOKOFF MCANDREWS,668,626,93,528
MCDONNELL BOEHNEN HULBERT & BERGHOFF LLP,700,623,89,568
ANOVA LAW GROUP,641,618,96,586
PROCOPIO CORY HARGREAVES & SAVITCH LLP,716,607,84,562
SEED INTELLECTUAL PROPERTY LAW GROUP LLP,693,600,86,515
KIM & STEWART LLP,697,597,85,581
SHEPPARD MULLIN RICHTER & HAMPTON LLP,695,596,85,536
KOWERT HOOD MUNYON RANKIN & GOETZEL,594,584,98,572
IP & T GROUP LLP,601,580,96,596
SCULLY SCOTT MURPHY & PRESSER PC,606,575,94,561
BAKER BOTTS LLP,681,564,82,563
INTERNATIONAL BUSINESS MACHINES CORPORATION,552,552,100,574
AMIN TUROCY & WATSON LLP,651,552,84,635
SHUMAKER & SIEFFERT PA,571,550,96,585
BUCHANAN INGERSOLL & ROONEY PC,606,546,90,565
METIS IP LLC,566,544,96,462
KEATING & BENNETT LLP,597,543,90,574
MYERS BIGEL PA,623,541,86,583
LEE HONG DEGERMAN KANG & WAIMEY,548,529,96,575
LERNER DAVID LLP,562,522,92,579
IBM CORPORATION,535,521,97,639
CHIP LAW GROUP,587,518,88,607
FLETCHER YODER PC,544,518,95,571
FORD GLOBAL TECHNOLOGIES LLC,519,511,98,563
TROUTMAN PEPPER HAMILTON SANDERS LLP,577,511,88,559
CONLEY ROSE P.C.,554,511,92,620
MICROSOFT CORPORATION,511,502,98,499
BROOKS KUSHMAN PC,560,485,86,605
SBPJ/SCIENBIZIP P.C.,531,482,90,509
SHERIDAN ROSS PC,552,479,86,580
PILLSBURY WINTHROP SHAW PITTMAN LLP,558,477,85,540
YOUNG BASILE,529,477,90,540
SHOOK HARDY & BACON LLP,520,473,90,573
JAMES LYNN O''SULLIVAN,543,465,85,568
MORRISON & FOERSTER LLP,551,464,84,507
RANKIN HILL & CLARK LLP,535,454,84,615
CROWELL,493,448,90,609
LOCKE LORD LLP,528,447,84,585
WHDA LLP,549,444,80,598
AT&T,1017,441,43,592
THE WEBB LAW FIRM PC,495,440,88,584
NIXON PEABODY LLP,504,435,86,552
VAN PELT YI & JAMES LLP,453,435,96,493
SCIENBIZIP PC,491,427,86,604
PATTERSON & SHERIDAN LLP,452,427,94,577
ROSSI KIMMS & MCDOWELL LLP,447,423,94,550
POTOMAC LAW GROUP PLLC,481,421,87,552
HSML PC,493,416,84,559
ALLEMAN HALL & TUTTLE LLP,455,416,91,537
MINTZ LEVIN,534,414,77,548
WILSON SONSINI GOODRICH & ROSATI,636,403,63,467
EDELL SHAPIRO & FINNAN LLC,441,402,91,577
DUANE MORRIS LLP,440,399,90,565
MCCOY RUSSELL LLP,424,398,93,583
CROWELL & MORING LLP,420,398,94,656
FITCH EVEN TABIN & FLANNERY LLP,436,397,91,566
CALDWELL INTELLECTUAL PROPERTY LAW,440,396,90,442
GLOBAL IP COUNSELORS LLP,415,391,94,545
BROOKS CAMERON & HUEBSCH PLLC,447,390,87,576
ESCHWEILER & POTASHNIK LLC,392,386,98,596
FENWICK & WEST LLP,445,384,86,495
CARTER DELUCA & FARRELL LLP,453,383,84,556
PEARNE & GORDON LLP,430,381,88,601
BARRON & YOUNG PLLC,424,375,88,492
CARLSON GASKEY & OLDS PC,420,375,89,540
GREER BURNS & CRAIN LTD,408,374,91,640
SNELL & WILMER LLP,424,373,87,578
MEUNIER CARLIN & CURFMAN LLC,446,373,83,584
TRUE SHEPHERD LLC,428,372,86,413
KILE PARK REED & HOUTTEMAN PLLC,387,369,95,563
MUIR PATENT LAW PLLC,371,368,99,592
SCHLUMBERGER,381,367,96,559
KLARQUIST SPARKMAN LLP,426,366,85,585
FOLEY & LARDNER,368,366,99,538
FENWICK,402,365,90,486
IPUSA PLLC,422,365,86,604
NEO IP,382,363,95,313
MBHB,392,361,92,526
INNOVATION COUNSEL LLP,364,360,98,506
HONEYWELL,379,359,94,579
FISHERBROYLES LLP,487,350,71,548
SMART & BIGGAR LP,407,348,85,519
